id,url,source,keywords
1,https://media.istockphoto.com/id/1128850660/photo/lumbini-nepal-birthplace-of-buddha-siddhartha-gautama.jpg?s=1024x1024&w=is&k=20&c=FyzkJijxAPGi_xi3_cY5KYgb2g0zfRZhTlvlqr8GgTE=,https://www.istockphoto.com/photo/lumbini-nepal-birthplace-of-buddha-siddhartha-gautama-gm1128850660-297988848,"lumbini, nepalese-buddhist-sites"
2,https://media.istockphoto.com/id/2168475002/photo/night-view-of-boudha-or-bodhnath-stupa-with-moon.jpg?s=1024x1024&w=is&k=20&c=IV4oaeKI_wkPl8iFFDKngo3nUNMqPDxPyRGYX-76QxA=,https://www.istockphoto.com/photo/night-view-of-boudha-or-bodhnath-stupa-with-moon-gm2168475002-588503029,"bouddhanath-stupa, stupa, nepalese-buddhist-sites"
3,https://media.istockphoto.com/id/1585397919/photo/swayambhunath-stupa-in-kathmandu-nepal.jpg?s=1024x1024&w=is&k=20&c=H3D-yCgayi9CosEZ97GzmAA5RkgCjKzW-Dpr7efzylQ=,https://www.istockphoto.com/photo/swayambhunath-stupa-in-kathmandu-nepal-gm1585397919-529009450,"swayambhunath-stupa, stupa, nepalese-buddhist-sites"
4,https://media.istockphoto.com/id/614040714/photo/yangon-myanmar-shwedagon-pagoda-at-twilight.jpg?s=1024x1024&w=is&k=20&c=lC-gzMWKsFHw31zQKT9L-id6b5-TGcrfFRDss5fpC_8=,https://www.istockphoto.com/photo/yangon-myanmar-shwedagon-pagoda-at-twilight-gm614040714-106123583,"shwedagon-pagoda, pagoda, burmese-buddhist-sites"
5,https://media.istockphoto.com/id/664556100/photo/golden-rock-pagoda.jpg?s=1024x1024&w=is&k=20&c=40pZdNb0GXJRetTrfGhkVqdc_-3qSZPGW3t8gKvewFM=,https://www.istockphoto.com/photo/golden-rock-pagoda-gm664556100-120978755,"kyaiktiyo-pagoda, pagoda, burmese-buddhist-sites"
6,https://media.istockphoto.com/id/512618630/photo/aerial-view-yangon-sule-pagoda-myanmar-burma.jpg?s=1024x1024&w=is&k=20&c=8veZDn-vXyEiEitT4bkEq0ahqLgejWNKcxvFwJMjatg=,https://www.istockphoto.com/photo/aerial-view-yangon-sule-pagoda-myanmar-burma-gm512618630-87233167,"sule-pagoda, pagoda, burmese-buddhist-sites"
7,https://media.istockphoto.com/id/479524452/photo/the-temples-of-bagan-at-sunrise-bagan-myanmar.jpg?s=1024x1024&w=is&k=20&c=THPTldJXVgiaA-csVnANWKiMgS1Q0XtdvtCNIoF26-k=,https://www.istockphoto.com/photo/the-temples-of-bagan-at-sunrise-bagan-myanmar-gm479524452-68052191,"bagan, burmese-buddhist-sites"
8,https://media.istockphoto.com/id/495690668/photo/phaung-daw-oo-pagoda-inle-lake-shan-state-myanmar.jpg?s=1024x1024&w=is&k=20&c=sKQWMUjUTIcrMK7Sb6Fvn-NOYxz_3a3pBCfpUNXp8CQ=,https://www.istockphoto.com/photo/phaung-daw-oo-pagoda-inle-lake-shan-state-myanmar-gm495690668-78130251,"phaung-daw-oo-pagoda"
9,https://media.istockphoto.com/id/1148814978/photo/mahabodhi-temple-bodh-gaya-india-the-site-where-gautam-buddha-attained-enlightenment.jpg?s=1024x1024&w=is&k=20&c=Qi96a38rXkhqHz17xfmdUU3f-eA6LEV4m8F708rl7Os=,https://www.istockphoto.com/photo/mahabodhi-temple-bodh-gaya-india-the-site-where-gautam-buddha-attained-enlightenment-gm1148814978-310365772,"buddha-gaya"
10,https://media.istockphoto.com/id/1148815017/photo/parinirvana-stupa-and-temple-kushinagar-india.jpg?s=1024x1024&w=is&k=20&c=toKTRiEIww2e9Q7HW-z2ZNy26_OxB7jXelovNWYSmMg=,https://www.istockphoto.com/photo/parinirvana-stupa-and-temple-kushinagar-india-gm1148815017-310365801,"kushinagar"
